metric,static / seq,static / pipelined,moving / seq,moving / pipelined
elapsed_s,26.012215686274512,26.513211538461533,26.01227450980392,25.5149
clients,0.9803921568627451,1.0,0.9803921568627451,1.0
scans_total,255.80392156862746,247.6153846153846,254.2156862745098,260.54
scans_in_window,9.96078431372549,9.673076923076923,9.941176470588236,10.16
scan_rate_hz,9.960588235294118,9.672884615384616,9.94156862745098,10.1598
drspaam_fps,21.407916666666665,22.926326530612243,23.44875,20.544375
t_det_ms_mean,48.8623125,45.95328571428571,45.912791666666664,51.25170833333333
t_det_ms_p95,62.121541666666666,60.14104081632653,62.71022916666667,67.4450625
t_det_ms_max,77.46516666666666,74.156,74.94885416666666,81.06433333333334
t_track_ms_mean,1.7299375000000001,0.7616122448979591,1.726520833333333,1.4653541666666665
t_track_ms_p95,2.0584791666666664,0.910938775510204,2.189,1.7127708333333331
t_track_ms_max,2.1536250000000003,0.9534489795918366,2.319354166666667,1.8100208333333334
t_lat_ms_mean,51.00314583333333,47.24069387755101,48.058416666666666,53.2309375
t_lat_ms_p95,64.41214583333334,61.48220408163266,64.97154166666667,69.51866666666668
t_lat_ms_max,79.76029166666667,75.4993469387755,77.20977083333332,83.14735416666666
t_scan_ms_mean,99.89620833333333,99.84253061224491,99.90079166666668,99.92012499999998
t_scan_ms_p95,101.881375,101.70648979591836,101.68091666666668,101.44091666666668
t_scan_ms_max,102.1135,102.03438775510203,102.03135416666667,101.6934375
t_fwd_ms_mean,26.392479166666664,26.596428571428575,27.247104166666663,26.9721875
t_fwd_ms_p95,38.223375,48.85936734693878,42.33925,52.86670833333334
t_fwd_ms_max,52.99720833333333,52.50389795918369,53.86802083333333,54.153979166666666
inference_ms_mean,48.56591666666666,45.68210204081633,45.627229166666666,50.984729166666675
inference_ms_p95,61.79983333333333,59.82724489795919,62.408416666666675,67.16185416666667
inference_ms_max,77.12910416666666,73.80857142857143,74.63904166666667,80.76364583333333
wire_ms_mean,216.0404166666667,142.9154693877551,244.43708333333333,226.67043750000002
wire_ms_p95,249.31452083333332,163.09844897959184,282.927625,262.22256250000004
wire_ms_max,254.46747916666666,165.68932653061222,291.28168750000003,267.843625
gpu_util_percent,24.470588235294116,23.576923076923077,25.137254901960784,25.14
drspaam_gpu_duty_percent,51.922291666666666,47.22204081632653,48.363958333333336,53.87437499999999
gpu_mem_util_percent,21.03921568627451,19.884615384615383,21.92156862745098,21.46
gpu_mem_used_mb,560.8941176470587,560.5615384615384,560.4627450980391,562.2399999999999
gpu_mem_total_mb,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,215.2941176470588,214.96153846153845,214.86274509803923,216.64
torch_alloc_mb,28.17843137254902,26.971153846153847,31.488235294117654,29.286000000000005
torch_reserved_mb,122.27450980392157,121.92307692307692,121.84313725490196,123.16
torch_peak_mb,1089.4176470588238,1090.242307692308,1089.4176470588238,1110.43
gpu_power_w,17.70254901960784,17.973846153846157,19.24745098039216,18.4712
gpu_temp_c,67.80392156862744,71.0576923076923,75.3921568627451,70.64
gpu_sm_clock_mhz,1590.3921568627452,1583.6538461538462,1588.921568627451,1587.0
cpu_percent_system,8.86470588235294,9.015384615384615,12.035294117647059,9.732
cpu_percent_process,55.15294117647059,50.01346153846154,51.63725490196077,57.894000000000005
proc_threads,89.56862745098039,90.59615384615384,89.56862745098039,90.72
ram_used_mb,8604.386274509805,8609.371153846154,8631.245098039215,8464.192000000001
ram_total_mb,15708.199999999997,15708.199999999995,15708.199999999997,15708.199999999997
ram_percent,54.78235294117647,54.809615384615384,54.947058823529424,53.886
proc_rss_mb,1179.0450980392156,1178.9923076923076,1180.992156862745,1188.4080000000001
swap_used_mb,0.0,0.0,0.0,0.0
swap_total_mb,4352.0,4352.0,4352.0,4352.0
swap_percent,0.0,0.0,0.0,0.0
