wall_time,elapsed_s,sessions,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,loss_percent,jitter_ms,wire_ms_mean,wire_ms_p95,wire_ms_max,busy_drop_in_window,bad_packets_in_window,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04 14:55:57.565,1.006,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,7.31,9.181,33.436,40.594,8,0,19.0,,19.0,562.9,4096.0,218.0,35.7,84.0,103.7,12.98,63.0,1545.0,10.1,96.4,65,6513.5,15708.2,41.5,964.2,0.0,4352.0,0.0
2026-09-04 14:55:58.565,2.005,1,1,1,1.0,0.65,1533.842,1533.842,1533.842,1.903,1.903,1.903,1536.745,1536.745,1536.745,,,,1508.797,1508.797,1508.797,1532.43,1532.43,1532.43,0.0,4.99,3.187,4.248,4.498,4,0,0.0,153.26,0.0,494.9,4096.0,150.0,42.6,64.0,891.2,13.78,63.0,1575.0,15.4,104.0,65,6669.2,15708.2,42.5,1114.9,0.0,4352.0,0.0
2026-09-04 14:55:59.565,3.005,1,4,3,3.0,2.36,423.233,1093.668,1211.891,1.234,1.391,1.412,553.42,1240.931,1347.575,932.501,1371.031,1401.618,413.46,1082.956,1201.099,423.071,1093.483,1211.703,0.0,3.7,2.795,2.889,2.901,2,0,48.0,126.92,31.0,536.9,4096.0,192.0,23.8,98.0,897.3,14.53,63.0,1575.0,10.0,120.0,72,6761.8,15708.2,43.0,1221.3,0.0,4352.0,0.0
2026-09-04 14:56:00.565,4.005,1,7,3,3.0,14.74,68.04,129.166,139.63,1.677,1.913,1.943,70.422,131.587,142.029,333.994,401.362,401.526,57.498,118.97,129.612,67.828,128.963,139.429,0.0,8.75,2.816,2.832,2.832,0,0,0.0,20.35,0.0,542.9,4096.0,198.0,23.8,104.0,897.3,13.02,63.0,1575.0,10.2,90.0,72,6768.8,15708.2,43.1,1221.4,0.0,4352.0,0.0
2026-09-04 14:56:01.567,5.008,1,9,2,2.0,31.25,32.195,35.02,35.334,1.809,1.972,1.991,34.646,37.66,37.995,399.817,400.326,400.382,21.548,23.241,23.429,32.003,34.829,35.143,0.0,4.53,2.779,2.797,2.799,0,0,22.0,6.39,19.0,542.9,4096.0,198.0,23.8,104.0,897.3,12.03,63.0,1575.0,8.3,40.9,72,6767.8,15708.2,43.1,1221.6,0.0,4352.0,0.0
2026-09-04 14:56:02.565,6.005,1,12,3,3.01,31.03,32.409,35.504,36.034,1.214,1.491,1.538,34.322,37.698,38.287,399.553,399.77,399.774,20.86,22.787,23.122,32.227,35.298,35.824,0.0,3.37,3.609,4.859,5.079,0,0,0.0,9.69,0.0,542.9,4096.0,198.0,23.8,104.0,897.3,11.76,63.0,1575.0,11.3,45.1,72,6729.1,15708.2,42.8,1221.6,0.0,4352.0,0.0
2026-09-04 14:56:03.565,7.005,1,14,2,2.0,33.52,30.014,30.19,30.21,0.957,1.033,1.041,31.72,31.809,31.819,397.969,398.662,398.739,19.639,19.659,19.661,29.829,30.002,30.021,0.0,7.58,5.815,6.308,6.363,0,0,19.0,5.97,18.0,542.9,4096.0,198.0,23.8,104.0,897.3,11.96,64.0,1575.0,5.7,8.0,72,6753.4,15708.2,43.0,1221.6,0.0,4352.0,0.0
2026-09-04 14:56:04.565,8.005,1,17,3,3.0,31.77,31.666,35.226,35.745,1.614,2.117,2.204,33.937,38.055,38.663,400.468,402.212,402.413,20.867,22.784,23.116,31.476,35.014,35.53,0.0,7.12,5.499,6.894,6.998,0,0,0.0,9.44,0.0,542.9,4096.0,198.0,23.8,104.0,897.3,12.02,63.0,1575.0,9.6,44.0,72,6763.9,15708.2,43.1,1221.6,0.0,4352.0,0.0
2026-09-04 14:56:05.565,9.005,1,18,1,1.0,29.42,34.17,34.17,34.17,2.072,2.072,2.072,36.816,36.816,36.816,399.601,399.601,399.601,23.134,23.134,23.134,33.988,33.988,33.988,0.0,4.37,5.081,6.097,6.21,0,0,0.0,3.4,0.0,522.9,4096.0,178.0,51.8,84.0,897.3,11.7,63.0,1575.0,13.2,71.0,72,6774.9,15708.2,43.1,1221.9,0.0,4352.0,0.0
2026-09-04 14:56:06.567,10.007,1,21,3,2.99,2.7,370.122,941.639,1042.401,1.35,1.413,1.424,455.494,968.517,1044.455,531.952,757.579,797.053,359.633,931.842,1032.816,369.947,941.46,1042.224,0.0,8.18,5.62,6.036,6.076,1,0,5.0,110.75,3.0,536.9,4096.0,192.0,23.8,98.0,897.3,14.62,64.0,1575.0,15.1,172.6,72,6777.3,15708.2,43.1,1222.1,0.0,4352.0,0.0
