metric,static / seq,static / pipelined,moving / seq,moving / pipelined
elapsed_s,31.535274193548396,30.532799999999995,34.53329411764705,34.03750746268656
publishers,1.0,1.0,1.0,1.0
scans_total,217.41935483870967,235.63333333333333,231.5,225.62686567164178
scans_in_window,8.193548387096774,8.466666666666667,7.367647058823529,7.462686567164179
scan_rate_hz,8.193709677419355,8.465833333333332,7.3675,7.463880597014925
drspaam_fps,24.173728813559322,24.678596491228067,22.982499999999998,23.43015625
t_det_ms_mean,144.33940677966103,131.90466666666666,158.58295312499996,154.168671875
t_det_ms_p95,213.58849152542373,183.5569298245614,284.20003124999994,269.47046874999995
t_det_ms_max,243.6791016949152,216.6044035087719,342.68449999999996,320.419015625
t_track_ms_mean,0.8535423728813559,1.0051929824561405,1.55065625,1.61825
t_track_ms_p95,1.0350338983050849,1.2318771929824561,2.044203125,2.035125
t_track_ms_max,1.0661694915254236,1.2816666666666667,2.145359375,2.1058593749999996
t_lat_ms_mean,151.78971186440674,138.45845614035088,166.57853125,161.38465624999998
t_lat_ms_p95,222.642220338983,192.662649122807,293.4419375,278.24640624999995
t_lat_ms_max,251.16435593220342,223.98919298245613,349.02209374999995,328.68446875
t_scan_ms_mean,194.0407068965517,162.8470714285714,199.66979365079362,158.18487301587302
t_scan_ms_p95,258.29172413793106,222.294,311.2508412698413,273.8998571428572
t_scan_ms_max,279.3594310344828,253.13392857142858,355.12753968253975,320.1180476190476
t_fwd_ms_mean,131.06528813559322,118.89247368421053,147.13820312500002,142.74959375
t_fwd_ms_p95,198.9534406779661,201.23070175438596,271.5301875,307.006140625
t_fwd_ms_max,228.93216949152546,202.1975087719298,329.966109375,307.85003125000003
inference_ms_mean,143.83349152542368,131.2967719298246,158.11496875,153.633265625
inference_ms_p95,212.97830508474576,182.8974210526316,283.68067187500003,268.892109375
inference_ms_max,243.09622033898304,215.96429824561403,342.14896875000005,319.84835937500003
missed_percent,0.4637096774193549,0.034166666666666665,0.0,0.0
jitter_ms,9.630161290322581,11.926166666666667,9.323970588235294,9.163731343283583
wire_ms_mean,115.60954838709675,116.21280000000002,115.0403529411765,113.6749552238806
wire_ms_p95,136.67603225806454,138.76245,132.6572205882353,131.29479104477616
wire_ms_max,148.62767741935482,148.82756666666666,140.78310294117648,137.23976119402982
busy_drop_in_window,1.7903225806451613,1.5166666666666666,2.6323529411764706,2.5074626865671643
gpu_util_percent,20.983870967741936,19.933333333333334,18.705882352941178,19.880597014925375
drspaam_gpu_duty_percent,50.076440677966104,48.64157894736842,56.31453125,54.19734375
gpu_mem_util_percent,17.419354838709676,16.633333333333333,16.235294117647058,16.91044776119403
gpu_mem_used_mb,582.2548387096774,552.2333333333335,555.9882352941177,537.4970149253732
gpu_mem_total_mb,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,237.3548387096774,207.1,205.7941176470588,192.59701492537314
torch_alloc_mb,54.12580645161291,26.08,43.304411764705875,29.43432835820896
torch_reserved_mb,145.96774193548387,112.86666666666666,112.05882352941177,98.86567164179104
torch_peak_mb,1459.103225806451,890.6733333333333,891.5426470588236,894.5641791044777
gpu_power_w,15.186612903225807,15.187499999999998,14.758235294117648,15.024179104477613
gpu_temp_c,67.16129032258064,68.28333333333333,65.30882352941177,67.29850746268657
gpu_sm_clock_mhz,1581.741935483871,1578.0,1575.0,1576.3432835820895
cpu_percent_system,20.441935483870974,23.28666666666667,20.423529411764704,20.04328358208955
cpu_percent_process,233.95322580645163,249.2433333333333,215.9411764705882,215.4597014925373
proc_threads,71.7741935483871,72.76666666666667,71.79411764705883,72.7910447761194
ram_used_mb,6831.011290322582,6997.768333333334,6979.942647058822,6989.671641791046
ram_total_mb,15708.199999999995,15708.199999999995,15708.199999999997,15708.199999999999
ram_percent,43.48709677419356,44.54999999999999,44.435294117647054,44.50000000000001
proc_rss_mb,1223.5596774193546,1217.058333333333,1219.980882352941,1219.1686567164177
swap_used_mb,0.0,0.0,0.0,0.0
swap_total_mb,4352.0,4352.0,4352.0,4352.0
swap_percent,0.0,0.0,0.0,0.0
