metric,static / seq,static / pipelined,moving / seq,moving / pipelined
elapsed_s,38.00553333333334,39.007545454545465,38.00568,57.50721929824561
sessions,1.0,1.0,1.0,1.0
scans_total,191.05333333333334,195.87012987012986,195.13333333333333,168.82456140350877
scans_in_window,6.693333333333333,6.584415584415584,6.693333333333333,4.421052631578948
scan_rate_hz,6.6929333333333325,6.584935064935064,6.6928,4.421315789473684
drspaam_fps,31.162837837837834,30.4788,27.946712328767124,25.193394495412843
t_det_ms_mean,73.37556756756756,78.65461333333334,84.28282191780822,148.24560550458713
t_det_ms_p95,112.9863648648649,118.32872,126.04806849315068,209.53319266055044
t_det_ms_max,122.52378378378378,135.9811333333333,141.74465753424658,229.92888990825688
t_track_ms_mean,0.859554054054054,1.0131466666666669,1.3896027397260273,1.4289266055045875
t_track_ms_p95,0.9900675675675675,1.20928,1.7934931506849312,1.7025688073394496
t_track_ms_max,1.0112567567567567,1.2499466666666668,1.876972602739726,1.748770642201835
t_lat_ms_mean,80.65458108108109,83.68028,89.61161643835617,166.45409174311928
t_lat_ms_p95,118.22018918918918,124.34581333333331,131.4373287671233,228.1748440366972
t_lat_ms_max,127.19778378378379,141.32478666666668,146.6516712328767,247.1076880733945
t_scan_ms_mean,230.84660273972597,235.87651351351352,222.3562638888889,346.9731574074074
t_scan_ms_p95,261.4102876712328,269.34639189189187,254.68399999999994,390.0498148148148
t_scan_ms_max,269.5166575342466,284.9232972972973,266.58251388888885,407.2661666666666
t_fwd_ms_mean,62.27652702702702,66.91910666666666,72.86054794520548,136.96572477064223
t_fwd_ms_p95,101.03862162162163,122.83021333333333,113.72354794520547,216.97360550458714
t_fwd_ms_max,110.41297297297297,122.83021333333333,129.27649315068496,217.90480733944952
inference_ms_mean,73.16962162162163,78.4172,84.05376712328767,147.94225688073394
inference_ms_p95,112.76324324324324,118.06374666666667,125.80358904109592,209.22985321100919
inference_ms_max,122.29893243243242,135.70821333333336,141.50931506849312,229.62353211009173
loss_percent,0.014533333333333334,0.0,0.0,0.0
jitter_ms,6.026133333333334,5.15155844155844,5.440533333333333,5.338684210526316
wire_ms_mean,11.21812,10.929038961038959,5.47644,7.031035087719298
wire_ms_p95,18.844746666666666,17.604584415584412,11.732626666666667,15.16098245614035
wire_ms_max,22.867813333333338,21.38797402597402,15.824533333333333,17.757771929824564
busy_drop_in_window,0.4533333333333333,0.6883116883116883,0.6933333333333334,0.6842105263157895
bad_packets_in_window,0.013333333333333334,0.0,0.0,0.0
gpu_util_percent,13.293333333333333,12.493506493506494,16.68,10.736842105263158
drspaam_gpu_duty_percent,29.103783783783783,30.920266666666667,33.14219178082192,34.845963302752295
gpu_mem_util_percent,10.253333333333334,9.974025974025974,14.453333333333333,8.74561403508772
gpu_mem_used_mb,550.7733333333333,543.3142857142857,550.2066666666667,544.8999999999999
gpu_mem_total_mb,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,205.17333333333335,197.71428571428572,205.30666666666667,200.0
torch_alloc_mb,27.125333333333334,25.428571428571427,26.508000000000006,28.80964912280702
torch_reserved_mb,111.38666666666667,103.92207792207792,110.88,105.96491228070175
torch_peak_mb,893.8306666666668,890.5064935064939,891.3960000000002,897.6175438596492
gpu_power_w,14.86213333333333,14.937922077922078,14.2064,13.293947368421053
gpu_temp_c,66.4,66.72727272727273,66.52,63.973684210526315
gpu_sm_clock_mhz,1575.0,1575.0,1575.9866666666667,1575.0
cpu_percent_system,15.210666666666667,17.68311688311688,14.700000000000003,14.592105263157897
cpu_percent_process,139.224,136.80519480519482,152.61466666666666,132.8280701754386
proc_threads,71.90666666666667,72.9090909090909,71.81333333333333,72.93859649122807
ram_used_mb,8594.796,8899.067532467532,6737.466666666667,6710.631578947369
ram_total_mb,15708.199999999997,15708.199999999995,15708.199999999997,15708.200000000003
ram_percent,54.71066666666667,56.65714285714286,42.89066666666667,42.72280701754387
proc_rss_mb,1217.5279999999998,1218.3662337662338,1217.8,1223.4701754385965
swap_used_mb,0.0,0.0,0.0,0.0
swap_total_mb,4352.0,4352.0,4352.0,4352.0
swap_percent,0.0,0.0,0.0,0.0
