method,run,metric,n_windows,mean,std,min,median,max
udp,static / pipelined,t_lat_ms_p95,75,124.34581333333331,290.7550437009343,28.611,35.638,1462.781
udp,static / pipelined,t_lat_ms_max,75,141.32478666666668,332.78220373766146,28.659,35.969,1462.781
udp,static / pipelined,t_scan_ms_mean,74,235.87651351351352,206.11637864627167,99.219,100.3265,1399.074
udp,static / pipelined,t_scan_ms_p95,74,269.34639189189187,247.76212306984536,100.643,101.95150000000001,1399.074
udp,static / pipelined,t_scan_ms_max,74,284.9232972972973,281.83169682338564,100.66,102.185,1399.074
udp,static / pipelined,t_fwd_ms_mean,75,66.91910666666666,215.10671769942678,16.983,18.782,1436.406
udp,static / pipelined,t_fwd_ms_p95,75,122.83021333333333,323.8943021464361,17.01,20.815,1436.406
udp,static / pipelined,t_fwd_ms_max,75,122.83021333333333,323.8943021464361,17.01,20.815,1436.406
udp,static / pipelined,inference_ms_mean,75,78.4172,215.96493041382587,26.436,30.255,1458.427
udp,static / pipelined,inference_ms_p95,75,118.06374666666667,279.04659784383455,26.821,33.233,1458.427
udp,static / pipelined,inference_ms_max,75,135.70821333333336,323.89902825640024,26.863,33.679,1458.427
udp,static / pipelined,loss_percent,77,0.0,0.0,0.0,0.0,0.0
udp,static / pipelined,jitter_ms,77,5.15155844155844,2.7365475103028833,1.5,4.86,11.01
udp,static / pipelined,wire_ms_mean,77,10.929038961038959,4.760287105565108,7.523,8.736,28.646
udp,static / pipelined,wire_ms_p95,77,17.604584415584412,12.867603998690756,8.471,9.352,47.658
udp,static / pipelined,wire_ms_max,77,21.38797402597402,17.346833081190493,8.474,9.615,49.116
udp,static / pipelined,busy_drop_in_window,77,0.6883116883116883,1.921209461851818,0.0,0.0,9.0
udp,static / pipelined,bad_packets_in_window,77,0.0,0.0,0.0,0.0,0.0
udp,static / pipelined,gpu_util_percent,77,12.493506493506494,9.355020291158304,0.0,17.0,40.0
udp,static / pipelined,drspaam_gpu_duty_percent,75,30.920266666666667,32.48280235103764,5.27,29.22,145.82
udp,static / pipelined,gpu_mem_util_percent,77,9.974025974025974,7.54281468121191,0.0,14.0,34.0
udp,static / pipelined,gpu_mem_used_mb,77,543.3142857142857,13.995165652972291,489.6,537.6,569.6
udp,static / pipelined,gpu_mem_total_mb,77,4096.0,0.0,4096.0,4096.0,4096.0
udp,static / pipelined,gpu_proc_mem_mb,77,197.71428571428572,13.99516565297229,144.0,192.0,224.0
udp,static / pipelined,torch_alloc_mb,77,25.428571428571427,4.286111510413517,22.8,23.8,44.8
udp,static / pipelined,torch_reserved_mb,77,103.92207792207792,13.585757086943191,50.0,98.0,130.0
udp,static / pipelined,torch_peak_mb,77,890.5064935064939,90.94953102749717,103.7,897.3,905.6
udp,static / pipelined,gpu_power_w,77,14.937922077922078,1.5217591427637618,12.53,15.88,16.57
udp,static / pipelined,gpu_temp_c,77,66.72727272727273,1.6192620446913435,64.0,67.0,69.0
udp,static / pipelined,gpu_sm_clock_mhz,77,1575.0,0.0,1575.0,1575.0,1575.0
udp,static / pipelined,cpu_percent_system,77,17.68311688311688,8.17329416610171,4.8,17.2,37.4
udp,static / pipelined,cpu_percent_process,77,136.80519480519482,88.75026745119656,6.0,133.9,335.0
udp,static / pipelined,proc_threads,77,72.9090909090909,0.7977240352174658,66.0,73.0,73.0
udp,static / pipelined,ram_used_mb,77,8899.067532467532,175.97404521657103,8376.3,8948.9,9249.9
udp,static / pipelined,ram_total_mb,77,15708.199999999995,5.492751992155558e-12,15708.2,15708.2,15708.2
udp,static / pipelined,ram_percent,77,56.65714285714286,1.1299078410752394,53.3,57.0,58.9
udp,static / pipelined,proc_rss_mb,77,1218.3662337662338,31.317985459802877,964.8,1222.8,1224.3
udp,static / pipelined,swap_used_mb,77,0.0,0.0,0.0,0.0,0.0
udp,static / pipelined,swap_total_mb,77,4352.0,0.0,4352.0,4352.0,4352.0
udp,static / pipelined,swap_percent,77,0.0,0.0,0.0,0.0,0.0
udp,moving / seq,elapsed_s,75,38.00568,21.794560470732883,1.006,38.005,75.007
udp,moving / seq,sessions,75,1.0,0.0,1.0,1.0,1.0
udp,moving / seq,scans_total,75,195.13333333333333,161.38147967465778,0.0,159.0,502.0
udp,moving / seq,scans_in_window,75,6.693333333333333,3.8554045370290444,0.0,10.0,10.0
udp,moving / seq,scan_rate_hz,75,6.6928,3.8547133521219226,0.0,9.98,10.03
udp,moving / seq,drspaam_fps,73,27.946712328767124,8.412411639752982,0.65,30.81,33.87
udp,moving / seq,t_det_ms_mean,73,84.28282191780822,218.65075342403557,29.693,32.683,1533.842
udp,moving / seq,t_det_ms_p95,73,126.04806849315068,290.21923753141294,29.984,35.836,1533.842
udp,moving / seq,t_det_ms_max,73,141.74465753424658,328.04451697115655,29.986,36.034,1533.842
udp,moving / seq,t_track_ms_mean,73,1.3896027397260273,0.35825595054862763,0.749,1.42,2.461
udp,moving / seq,t_track_ms_p95,73,1.7934931506849312,0.5228473891237734,0.916,1.836,3.259
udp,moving / seq,t_track_ms_max,73,1.876972602739726,0.5744046428115022,0.916,1.934,3.563
udp,moving / seq,t_lat_ms_mean,73,89.61161643835617,223.8801659840489,31.256,35.107,1536.745
udp,moving / seq,t_lat_ms_p95,73,131.4373287671233,299.7836933348339,31.609,38.236,1536.745
udp,moving / seq,t_lat_ms_max,73,146.6516712328767,335.89753655649776,31.648,38.59,1536.745
udp,moving / seq,t_scan_ms_mean,72,222.3562638888889,169.29515139950135,99.185,100.38749999999999,932.501
udp,moving / seq,t_scan_ms_p95,72,254.68399999999994,235.15785888009444,100.714,101.851,1371.031
udp,moving / seq,t_scan_ms_max,72,266.58251388888885,263.00562196797307,100.714,102.2385,1401.618
udp,moving / seq,t_fwd_ms_mean,73,72.86054794520548,217.46353793369596,19.635,21.507,1508.797
udp,moving / seq,t_fwd_ms_p95,73,113.72354794520547,289.739699055081,19.659,23.186,1508.797
udp,moving / seq,t_fwd_ms_max,73,129.27649315068496,327.81168468095296,19.661,23.21,1508.797
udp,moving / seq,inference_ms_mean,73,84.05376712328767,218.5418516625541,29.521,32.453,1532.43
udp,moving / seq,inference_ms_p95,73,125.80358904109592,290.14923903110406,29.806,35.539,1532.43
udp,moving / seq,inference_ms_max,73,141.50931506849312,327.9832375056128,29.808,35.792,1532.43
udp,moving / seq,loss_percent,75,0.0,0.0,0.0,0.0,0.0
udp,moving / seq,jitter_ms,75,5.440533333333333,2.358737576534311,2.72,4.53,9.51
udp,moving / seq,wire_ms_mean,75,5.47644,3.6968646293267984,2.764,4.503,20.727
udp,moving / seq,wire_ms_p95,75,11.732626666666667,12.364035707116297,2.797,6.086,51.17
udp,moving / seq,wire_ms_max,75,15.824533333333333,18.496550691100985,2.799,6.116,71.145
udp,moving / seq,busy_drop_in_window,75,0.6933333333333334,2.079327680670751,0.0,0.0,9.0
udp,moving / seq,bad_packets_in_window,75,0.0,0.0,0.0,0.0,0.0
udp,moving / seq,gpu_util_percent,75,16.68,9.06755427557732,0.0,19.0,48.0
udp,moving / seq,drspaam_gpu_duty_percent,73,33.14219178082192,31.974721406421427,3.4,32.11,153.26
udp,moving / seq,gpu_mem_util_percent,75,14.453333333333333,7.521668398400418,0.0,18.0,31.0
udp,moving / seq,gpu_mem_used_mb,75,550.2066666666667,21.642034508281736,488.9,536.9,576.9
udp,moving / seq,gpu_mem_total_mb,75,4096.0,0.0,4096.0,4096.0,4096.0
udp,moving / seq,gpu_proc_mem_mb,75,205.30666666666667,21.642034508281743,144.0,192.0,232.0
udp,moving / seq,torch_alloc_mb,75,26.508000000000006,5.858783196239688,23.7,23.8,51.8
udp,moving / seq,torch_reserved_mb,75,110.88,21.563833585865915,50.0,98.0,138.0
udp,moving / seq,torch_peak_mb,75,891.3960000000002,92.28233329211952,103.7,905.6,905.6
udp,moving / seq,gpu_power_w,75,14.2064,1.4721198541100058,11.7,15.12,15.81
udp,moving / seq,gpu_temp_c,75,66.52,2.26822945595565,63.0,67.0,70.0
udp,moving / seq,gpu_sm_clock_mhz,75,1575.9866666666667,9.179138117305818,1545.0,1575.0,1627.0
udp,moving / seq,cpu_percent_system,75,14.700000000000003,7.155700808030899,3.4,14.7,34.6
udp,moving / seq,cpu_percent_process,75,152.61466666666666,95.46422945955362,8.0,164.5,339.5
udp,moving / seq,proc_threads,75,71.81333333333333,1.1353453258850406,65.0,72.0,72.0
udp,moving / seq,ram_used_mb,75,6737.466666666667,37.6227516463302,6513.5,6728.9,6792.5
udp,moving / seq,ram_total_mb,75,15708.199999999997,3.662477257679844e-12,15708.2,15708.2,15708.2
udp,moving / seq,ram_percent,75,42.89066666666667,0.23833506582876962,41.5,42.8,43.2
udp,moving / seq,proc_rss_mb,75,1217.8,32.18868359146349,964.2,1222.7,1223.8
udp,moving / seq,swap_used_mb,75,0.0,0.0,0.0,0.0,0.0
udp,moving / seq,swap_total_mb,75,4352.0,0.0,4352.0,4352.0,4352.0
udp,moving / seq,swap_percent,75,0.0,0.0,0.0,0.0,0.0
udp,moving / pipelined,elapsed_s,114,57.50721929824561,33.05322595364382,1.007,57.5065,114.007
udp,moving / pipelined,sessions,114,1.0,0.0,1.0,1.0,1.0
udp,moving / pipelined,scans_total,114,168.82456140350877,139.313121923498,0.0,139.0,504.0
